Gender,Customer Type,Type of Travel,Class,satisfaction,Age,Flight Distance,Inflight entertainment,Baggage handling,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
Female,Loyal Customer,Business travel,Business,satisfied,57,2496,5,5,5,0,5.0
Male,Loyal Customer,Business travel,Business,satisfied,40,602,5,5,4,0,0.0
Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,38,308,4,4,4,39,26.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,23,446,4,4,4,4,0.0
Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,39,216,3,4,3,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,52,3475,4,4,3,0,0.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,25,646,4,3,4,13,1.0
Female,Loyal Customer,Business travel,Business,satisfied,48,2501,5,5,4,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,59,2227,4,4,4,30,15.0
Male,Loyal Customer,Business travel,Business,satisfied,25,1426,4,4,4,4,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,38,190,4,4,4,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,46,1532,5,5,4,0,0.0
Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,50,308,2,2,2,18,12.0
Female,Loyal Customer,Business travel,Eco Plus,satisfied,38,157,4,1,4,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,53,1506,5,5,5,0,0.0
Male,Loyal Customer,Business travel,Eco Plus,neutral or dissatisfied,30,205,3,1,3,64,49.0
Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,39,895,5,4,5,0,2.0
Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,66,516,2,5,2,0,37.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,45,909,1,5,1,0,0.0
Female,disloyal Customer,Business travel,Business,satisfied,25,1435,1,5,1,1,1.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,52,1190,2,2,4,0,6.0
Male,Loyal Customer,Personal Travel,Eco,satisfied,64,1259,2,3,2,20,5.0
Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,50,216,4,1,4,0,0.0
Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,41,1670,3,3,3,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,26,3960,4,5,4,45,48.0
Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,25,817,3,2,3,0,0.0
Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,44,1670,5,4,5,0,8.0
Female,disloyal Customer,Business travel,Business,satisfied,21,861,1,4,1,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,47,406,4,4,4,44,50.0
Male,Loyal Customer,Business travel,Eco Plus,satisfied,31,404,4,2,4,17,3.0
Female,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,57,500,5,5,5,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,44,689,5,5,5,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,45,3100,4,4,1,0,0.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,13,525,3,3,3,0,0.0
Male,Loyal Customer,Personal Travel,Eco,satisfied,60,931,4,5,4,0,0.0
Female,disloyal Customer,Business travel,Business,satisfied,41,304,2,4,2,31,19.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,30,1896,4,3,4,81,72.0
Female,Loyal Customer,Business travel,Eco Plus,satisfied,51,261,5,5,1,0,0.0
Female,Loyal Customer,Business travel,Eco,satisfied,61,347,3,3,4,0,11.0
Female,Loyal Customer,Business travel,Eco,satisfied,32,1042,4,1,4,35,34.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,39,1773,5,3,5,14,18.0
Male,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,19,342,3,3,3,0,0.0
Female,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,15,297,5,1,5,67,62.0
Female,disloyal Customer,Business travel,Business,satisfied,42,883,3,4,3,22,27.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,16,332,3,5,3,40,52.0
Male,Loyal Customer,Business travel,Business,satisfied,19,2388,4,1,4,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,29,748,5,4,5,0,0.0
Female,disloyal Customer,Business travel,Eco Plus,neutral or dissatisfied,27,1080,3,3,3,0,0.0
Male,disloyal Customer,Business travel,Business,satisfied,22,231,5,4,5,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,15,551,4,4,4,3,0.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,11,972,1,4,1,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,34,265,5,2,5,0,23.0
Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,26,488,1,5,1,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,26,1144,4,5,4,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,53,2332,4,4,3,0,3.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,36,3024,4,4,1,30,13.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,32,1750,1,2,1,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,20,483,5,3,5,91,82.0
Female,Loyal Customer,Business travel,Business,satisfied,35,2128,4,4,4,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,15,235,1,4,1,1,10.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,52,689,3,2,3,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,45,1852,2,2,5,0,0.0
Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,24,372,3,4,3,21,23.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,46,3705,4,4,4,4,0.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,26,416,1,2,1,0,9.0
Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,28,337,4,2,4,3,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,11,335,3,4,3,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,45,1400,4,4,5,4,9.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,62,2521,5,4,1,7,30.0
Female,Loyal Customer,Business travel,Business,satisfied,34,374,4,4,3,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,51,308,4,4,5,17,8.0
Female,Loyal Customer,Business travel,Eco Plus,neutral or dissatisfied,58,575,2,2,4,14,16.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,22,618,3,4,3,0,0.0
Male,Loyal Customer,Business travel,Eco,satisfied,8,1304,4,4,4,0,0.0
Male,disloyal Customer,Business travel,Business,satisfied,26,351,2,4,2,4,11.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,22,549,3,5,3,15,3.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,21,3510,3,3,3,0,0.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,31,1620,3,2,3,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,44,326,1,1,5,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,27,588,5,5,5,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,47,1020,5,5,5,0,0.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,24,2903,3,2,3,0,0.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,67,2659,1,1,1,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,32,3037,4,1,4,0,0.0
Female,Loyal Customer,Personal Travel,Eco,satisfied,58,2475,3,4,1,29,10.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,12,978,1,4,1,0,0.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,56,2568,3,3,4,0,0.0
Female,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,58,371,1,1,3,0,0.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,24,791,5,3,5,39,6.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,68,480,5,3,5,7,6.0
Male,Loyal Customer,Business travel,Business,satisfied,46,1786,5,5,3,1,7.0
Male,Loyal Customer,Business travel,Business,satisfied,43,1849,3,3,4,0,7.0
Female,Loyal Customer,Business travel,Business,satisfied,55,3634,4,1,3,0,0.0
Female,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,54,844,3,3,4,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,42,3094,2,2,3,0,10.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,47,3465,1,1,4,13,15.0
Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,29,1035,5,4,5,0,0.0
Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,36,237,2,2,2,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,50,3175,5,5,3,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,31,760,1,4,1,17,27.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,13,853,4,5,4,105,122.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,24,446,5,4,5,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,60,1071,3,3,1,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,42,728,3,3,2,0,3.0
Female,Loyal Customer,Business travel,Business,satisfied,57,2585,4,4,4,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,42,707,3,3,3,27,11.0
Male,disloyal Customer,Business travel,Eco,satisfied,20,861,2,5,2,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,51,719,4,4,3,19,0.0
Male,Loyal Customer,Business travel,Business,satisfied,45,1790,5,5,4,0,0.0
Female,Loyal Customer,Business travel,Eco Plus,satisfied,26,680,5,5,5,12,27.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,26,888,5,3,5,51,30.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,24,1660,3,2,3,0,2.0
Male,Loyal Customer,Business travel,Eco,satisfied,49,578,1,4,5,162,179.0
Female,Loyal Customer,Business travel,Eco,satisfied,17,606,5,2,5,15,15.0
Female,Loyal Customer,Business travel,Business,satisfied,39,1487,4,4,3,7,0.0
Female,Loyal Customer,Business travel,Business,satisfied,49,317,4,4,5,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,48,844,4,4,3,0,1.0
Male,Loyal Customer,Business travel,Business,satisfied,52,3747,4,4,5,24,20.0
Female,Loyal Customer,Business travel,Business,satisfied,25,2748,3,4,3,0,0.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,16,1503,3,3,3,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,58,1717,4,4,4,0,0.0
Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,8,1117,3,4,3,0,7.0
Male,Loyal Customer,Business travel,Business,satisfied,42,1372,5,4,4,141,125.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,52,2768,4,4,4,0,0.0
Female,Loyal Customer,Business travel,Eco,satisfied,47,370,5,5,4,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,69,1546,1,1,3,1,26.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,47,1023,4,1,4,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,41,3636,4,4,2,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,40,1325,1,4,1,0,9.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,56,2556,5,5,2,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,41,1052,4,4,4,6,0.0
Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,40,773,3,4,3,15,26.0
Male,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,12,817,1,5,1,0,0.0
Male,Loyal Customer,Personal Travel,Eco,satisfied,59,516,1,4,1,3,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,21,447,2,5,2,34,19.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,12,462,2,2,2,0,0.0
Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,31,361,1,3,1,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,37,125,2,3,2,6,4.0
Female,Loyal Customer,Personal Travel,Eco,satisfied,38,271,2,4,2,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,45,173,2,4,2,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,43,1950,4,4,5,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,52,719,3,3,3,0,17.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,57,153,2,3,2,0,0.0
Female,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,13,337,1,2,1,0,18.0
Female,Loyal Customer,Business travel,Business,satisfied,45,3732,5,5,4,17,0.0
Female,Loyal Customer,Business travel,Business,satisfied,43,3854,5,5,3,0,0.0
Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,53,977,2,3,2,20,17.0
Male,Loyal Customer,Business travel,Business,satisfied,23,3073,5,1,5,0,3.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,16,1379,2,4,2,2,0.0
Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,23,631,2,4,2,0,8.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,45,666,4,5,4,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,46,2820,5,5,3,1,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,49,577,1,1,3,23,2.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,40,2808,3,4,3,7,2.0
Female,Loyal Customer,Business travel,Business,satisfied,19,2172,4,4,4,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,48,1192,1,2,1,0,0.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,64,1773,2,2,4,0,0.0
Female,Loyal Customer,Business travel,Eco,satisfied,38,109,5,4,5,31,
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,23,1749,3,4,3,97,89.0
Female,Loyal Customer,Business travel,Business,satisfied,38,3753,4,4,1,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,41,214,2,5,2,16,34.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,29,1020,1,3,1,0,0.0
Male,Loyal Customer,Business travel,Eco Plus,satisfied,47,368,4,2,4,0,0.0
Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,50,1448,4,4,4,20,4.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,18,1127,3,4,3,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,20,545,5,3,5,4,0.0
Female,Loyal Customer,Business travel,Business,satisfied,41,3238,4,4,4,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,12,2466,1,5,1,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,36,2715,4,3,2,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,49,337,4,4,3,10,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,55,1608,5,5,2,0,0.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,43,3004,2,3,2,0,0.0
Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,49,980,3,5,3,11,6.0
Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,35,1462,3,1,3,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,45,1521,5,5,4,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,28,862,5,1,5,9,5.0
Male,Loyal Customer,Business travel,Business,satisfied,60,1833,4,4,2,0,0.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,35,2398,2,2,3,0,9.0
Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,38,349,4,4,4,29,28.0
Male,Loyal Customer,Business travel,Business,satisfied,48,1722,4,4,1,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,65,578,3,3,3,99,101.0
Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,30,163,1,4,1,9,11.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,51,395,3,3,1,0,0.0
Male,disloyal Customer,Business travel,Eco,satisfied,23,416,4,5,4,18,4.0
Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,37,977,3,3,3,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,23,3095,5,4,5,9,0.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,32,738,4,4,4,0,3.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,67,719,1,3,1,24,14.0
Male,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,65,226,4,4,3,37,20.0
Female,Loyal Customer,Business travel,Business,satisfied,48,1943,5,5,5,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,60,2371,4,4,3,66,61.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,31,551,3,3,3,53,48.0
Male,Loyal Customer,Business travel,Eco Plus,satisfied,22,493,4,2,4,19,6.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,27,925,5,5,5,4,3.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,19,405,1,4,1,0,0.0
Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,26,1055,4,4,4,0,0.0
Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,72,305,4,3,4,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,34,589,5,5,5,0,11.0
Female,Loyal Customer,Business travel,Business,satisfied,45,1587,4,4,3,0,0.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,51,3090,2,2,1,0,0.0
Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,26,804,4,4,4,7,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,12,719,1,4,1,0,0.0
Female,Loyal Customer,Business travel,Eco Plus,neutral or dissatisfied,72,67,3,3,3,28,18.0
Male,Loyal Customer,Business travel,Eco,satisfied,45,550,4,3,4,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,22,2809,5,4,5,36,28.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,53,552,5,5,5,0,0.0
Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,33,356,4,5,4,12,0.0
Female,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,46,119,4,4,3,13,32.0
Male,Loyal Customer,Business travel,Business,satisfied,54,1545,5,5,4,1,0.0
Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,40,819,4,3,4,23,6.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,37,1801,2,2,4,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,35,1658,5,3,3,6,6.0
Female,disloyal Customer,Business travel,Business,satisfied,26,114,4,5,4,0,13.0
Female,Loyal Customer,Business travel,Eco,satisfied,62,128,5,5,1,0,16.0
Male,Loyal Customer,Business travel,Business,satisfied,58,813,3,3,3,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,55,349,2,2,3,0,0.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,60,1508,3,3,2,15,15.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,15,89,5,4,5,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,67,157,5,3,5,45,33.0
Male,Loyal Customer,Business travel,Business,satisfied,43,2828,3,3,5,39,41.0
Male,Loyal Customer,Business travel,Business,satisfied,30,3131,5,4,5,7,0.0
Female,Loyal Customer,Business travel,Eco,satisfied,42,718,5,5,1,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,40,1959,4,5,4,209,191.0
Male,Loyal Customer,Business travel,Business,satisfied,47,3496,5,5,4,0,2.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,38,2300,4,4,2,60,37.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,25,2845,1,2,3,0,1.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,26,406,5,1,3,149,138.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,66,580,4,5,4,26,13.0
Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,69,735,1,1,2,12,4.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,22,1722,2,3,2,0,53.0
Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,8,1201,3,1,3,24,14.0
Female,disloyal Customer,Business travel,Business,satisfied,37,372,4,5,4,11,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,69,1072,1,1,4,18,7.0
Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,28,733,4,3,4,15,22.0
Male,Loyal Customer,Business travel,Eco Plus,neutral or dissatisfied,51,1075,2,4,2,5,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,46,2586,2,3,4,59,57.0
Male,disloyal Customer,Business travel,Business,satisfied,39,140,4,4,4,0,7.0
Female,disloyal Customer,Business travel,Eco Plus,neutral or dissatisfied,21,903,1,3,1,35,28.0
Male,Loyal Customer,Business travel,Business,satisfied,46,2423,4,4,5,1,0.0
Female,Loyal Customer,Business travel,Business,satisfied,36,3130,5,5,3,62,65.0
Male,Loyal Customer,Business travel,Business,satisfied,60,2198,4,4,3,23,4.0
Male,Loyal Customer,Business travel,Eco Plus,neutral or dissatisfied,23,602,2,4,2,21,44.0
Male,Loyal Customer,Personal Travel,Eco,satisfied,52,685,4,5,4,0,0.0
Male,Loyal Customer,Business travel,Eco,satisfied,36,1208,4,2,4,3,0.0
Male,Loyal Customer,Business travel,Business,satisfied,41,2789,4,4,5,10,0.0
Male,Loyal Customer,Business travel,Business,satisfied,45,3305,4,4,3,8,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,67,2342,5,3,5,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,45,3712,4,4,5,0,0.0
